"Action","Quantity","Price","Balance","PNL","Fuzzy_sentiment_signal","MA_Signal","Bollinger","MACRO_0","MACRO_1","MACRO_2","VaR"
"buy",0.95,59230.42,84278.04999999996,-669293.6599999999,0,1,0,-581.962498607774,-8.059917626650927,1.6296717261407112,0.0182648401826484
"sell",0.95,55379.8,136888.85999999996,-669293.6599999999,-1,0,0,-570.3144702268468,-7.731265145348072,2.5676481599836154,-0.06696562032884901
"buy",1.05,49368.92,85051.49399999995,-6056.09199999999,1,0,0,-209.63190573878208,-6.175673188497972,0.6587427202466224,-0.006726854310497465
"buy",1.05,48118.82,34526.73299999995,-6056.09199999999,0,0,1,-191.519561366094,-5.710581999205877,0.8453925361469886,-0.026020317234004664
"sell",2.1,43538.88,125958.38099999995,-6056.09199999999,-1,0,0,-173.40721699341307,-5.245490809913824,1.032042352047375,-0.09771271729185727
"buy",1.05,43580.5,80198.85599999994,13250.50850000001,1,0,0,-155.29487262072496,-4.780399620621729,1.2186921679477407,0.0004055972419387821
"buy",1.05,37970.64,40329.68399999994,13250.50850000001,1,0,0,-427.89772753053006,-4.166645434184735,-1.2062246000708403,0.03654970760233911
"buy",1.05,32869.08,5817.149999999936,13250.50850000001,0,0,1,-457.7606832470107,-4.192203546211507,-2.2612683764234456,-0.09512074913750612
"sell",3.1500000000000004,40530.39,133487.87849999993,13250.50850000001,0,0,-1,-221.28088687821503,-1.581046155658777,-3.3368933874100866,0.03384056325232798
"buy",1.05,38811.19,92736.12899999993,-4246.722999999998,1,0,0,138.7922981811872,1.4075516148428766,-2.909773903488327,-0.03759398496240607
"sell",1.05,32918.54,127300.59599999993,-4246.722999999998,-1,0,0,295.48332289208355,3.5223904118933125,-3.953649434853679,-0.038421327757449
"buy",1.05,32538.37,93135.30749999994,1067.8029999999999,1,0,0,226.87461284284063,2.416780303731885,-4.822859323049876,-0.011959771677086173
"buy",1.05,33472.51,57989.17199999993,1067.8029999999999,1,0,0,-739.7087657147594,-0.3752228515726463,-3.3043890258295328,-0.005037115588547136
"sell",2.1,31942.23,125067.85499999994,1067.8029999999999,-1,0,0,-716.3351224034602,0.733990073215973,-2.758044189594975,-0.03720679428417362
"buy",1.05,32661.04,90773.76299999993,26933.44150000003,1,0,0,-760.7656920488015,-1.7545548195655385,-2.751211768514151,0.02324278913469624
"buy",1.05,31388.24,57816.11099999993,26933.44150000003,0,0,1,-515.3801295146795,-1.4187517650787058,-1.0318944434357404,-0.015440763615946151
"buy",1.05,29662.31,26670.68549999993,26933.44150000003,0,0,1,210.4518384916816,-2.3765783766893867,2.647999037380409,-0.0678300028145229
"sell",3.1500000000000004,38300.01,147315.71699999995,26933.44150000003,0,0,-1,-944.251328281682,-2.995527925074843,-0.9352070922454758,0.12184326998177553
"buy",1.05,39694.11,105636.90149999995,4655.737499999996,0,1,0,-886.0435708067836,-2.670274949741813,0.9270369413422946,0.06709646609360087
"sell",1.05,42237.95,149986.74899999995,4655.737499999996,0,0,-1,-763.0070037242015,-0.3708094260158541,-1.16393680102764,0.06262536215734338
"buy",1.05,46391.24,101275.94699999996,20411.02799999999,1,0,0,-1452.9016856907322,-9.89328421277454,0.6256702492816031,-0.023893970505880158
"buy",1.05,48839.86,49994.093999999954,20411.02799999999,1,0,0,-1140.0413795933491,-7.50765566221824,-0.5610099192244721,0.03400075557234605
"buy",1.05,49857.36,-2356.134000000049,20411.02799999999,1,0,0,-1129.3304162092063,-6.782479820868626,-0.0545592088258624,-0.004804270462633431
"sell",3.1500000000000004,52539.52,163143.35399999996,20411.02799999999,0,0,-1,-994.7837913287308,-6.395026134086011,0.56414349119018,0.016351118760757233
"buy",1.05,44851.45,116049.33149999997,1276.7565000000177,1,0,0,-435.2389311849657,-2.1722658010347287,1.826452015035109,-0.03425052915143356
"buy",1.05,46024.23,67723.88999999996,1276.7565000000177,1,0,0,-609.8471056593091,-2.713503045562411,1.1396022263013434,0.014581280788177331
"buy",1.05,42422.84,23179.90799999996,1276.7565000000177,-1,-1,1,202.0083295591472,2.372153721105989,4.710404505926455,-0.07403770620581307
"sell",3.1500000000000004,42722.31,157755.18449999997,1276.7565000000177,-1,0,0,-625.5395146609566,0.3735859732722152,-1.808568039545076,-0.03721682847896435
"buy",1.05,42247.96,113394.82649999997,2532.125,1,0,0,-649.3309529795199,0.804936240695782,-1.5741984050636222,-0.012815126050420123
"sell",1.05,42647.7,158174.91149999996,2532.125,-1,0,0,-696.9138296166466,1.6676367755429184,-1.1054591361007124,-0.0314478251991015
"buy",1.05,42250.07,113812.33799999996,7735.620999999999,1,0,0,-127.53390486296009,5.155162770136725,1.7553331804529082,-0.009909340080118123
"sell",1.05,47605.42,163798.02899999995,7735.620999999999,-1,0,0,-154.0092377546393,4.97653628724292,-0.3722012482009131,0.09328665568369021
"buy",1.05,62793.73,97864.61249999994,1516.7644999999975,1,0,0,-1880.2016465045044,4.205218088343032,-2.997482313230416,0.019920318725099584
"sell",1.05,61248.09,162175.10699999996,1516.7644999999975,-1,0,0,-2155.505619913564,0.7039879549629112,-1.0557140768146376,0.005385190725504918
"buy",1.05,63618.26,95375.93399999995,641.2850000000035,1,0,0,-1927.866590687005,1.20274040489911,-1.6836145475144766,-0.01658001967120981
"buy",1.05,56436.38,36117.73499999995,641.2850000000035,0,0,1,-1698.499241592054,0.6001739383776349,-0.5574693035562808,-0.06009504829066381
"sell",2.1,57474.25,156813.65999999995,641.2850000000035,0,-1,0,-1441.033103153916,-0.3180232738702405,0.5914727369906346,-0.026623073330219515
"buy",1.05,56963.32,97002.17399999994,2656.120999999999,1,0,0,150.46928075877182,-0.9153164144169637,11.682462531598452,0.0030904359141183946
"sell",1.05,56780.42,156621.61499999993,2656.120999999999,-1,0,0,-467.2827382330274,-3.175595204193056,9.961644561322707,-0.005026755310523767
"buy",0.95,47502.84,111493.91699999993,,0,0,1,-407.5695270968865,-2.381185698743108,12.360001199945817,-0.15645371577574962
"buy",0.95,48264.63,65642.51849999993,45359.712999999996,1,0,0,-1582.198663593407,-5.444709259607022,5.358668304566294,-0.04772313296903463
"sell",1.9,49275.97,159266.86149999994,45359.712999999996,-1,0,0,-1585.1439144750843,-5.54635993990949,3.393273831685146,0.003951825366955264
"buy",1.05,46709.76,110221.61349999993,3399.1695000000036,1,0,0,-1478.4635172271887,-5.122721500657257,3.704129064939468,-0.053983130271790025
"sell",1.05,47722.79,160330.54299999995,3399.1695000000036,-1,0,0,-1725.1561993476723,-4.96574764923349,4.149095635108522,-0.0194508009153318
"buy",1.05,46618.74,111380.86599999995,2137.044000000009,1,0,0,-1192.9548257591846,-3.911987428988575,4.1099212172566055,-0.024115130299494414
"sell",1.05,46434.08,160136.64999999997,2137.044000000009,-1,0,0,-904.09656677217,-3.918182936991747,4.680424450343348,-0.022612085769980528
"buy",1.05,48618.68,109087.03599999996,829.3900000000067,1,0,0,-759.6674372786628,-3.921280690993333,4.965676066886719,0.049461507778221
"sell",1.05,47093.4,158535.10599999997,829.3900000000067,-1,0,0,-2248.082796120704,-5.025000502206349,1.14936327353761,-0.0029417532849578265
"buy",1.05,43047.13,113335.61949999997,2007.7610000000059,0,0,1,-2234.645500151172,-1.9532584212414423,3.179531195006187,-0.07307769524191932
"sell",1.05,42909.42,158390.51049999997,2007.7610000000059,-1,0,0,-1941.177928254264,3.291095895069096,1.609678310814502,-0.01835645677694775
"buy",1.05,43003.49,113236.84599999998,-6853.576999999976,1,0,0,-1739.3804679627326,5.521349061839524,-0.5697603723878066,0.0028267014568383875
"buy",1.05,38926.62,72363.89499999997,-6853.576999999976,0,0,1,-542.9773430971064,14.500588752529303,1.6815173821078346,-0.07504440497335707
"sell",2.1,35750.73,147440.42799999999,-6853.576999999976,-1,0,0,-92.95326049885634,16.15466636516508,3.93441083596177,-0.08449351896303403
"buy",1.05,35469.61,110197.33749999998,1485.8435000000027,1,0,0,-125.9944351568083,15.923266297101629,4.4645343584636565,-0.007603565810173074
"sell",1.05,35195.67,147152.79099999997,1485.8435000000027,-1,0,0,-159.035609814753,15.691866229038189,4.994657880965529,-0.009247027741083214
"buy",1.05,35997.94,109354.95399999997,3566.4065000000046,-1,0,0,4.31604699896525,20.5174397593224,5.837846991960839,-0.04458281444582812
"sell",1.05,37680.33,148919.30049999998,3566.4065000000046,1,0,0,-553.0592479249217,16.463215321027278,3.517687055197805,0.013602015113350019
"buy",1.05,42296.23,104508.25899999998,11169.378000000026,-1,0,0,-565.6737443751222,21.556847307625446,1.7794020329448228,-0.01046435578809679
"buy",1.05,41788.17,60630.68049999997,11169.378000000026,1,1,0,-451.0876583892305,23.77402649626572,1.7168295978596697,-0.011686879823594287
"buy",1.05,43601.75,14848.842999999972,11169.378000000026,-1,0,0,-393.794615396281,24.88261609058587,1.6855433803170834,0.043953592146363185
"sell",3.1500000000000004,44081.12,153704.37099999998,11169.378000000026,1,0,0,-816.4482969153399,19.09240529329748,1.1540171849045866,0.012609531951271569
"buy",1.05,39367.29,112368.71649999998,1843.7190000000046,-1,0,0,213.8484273268481,23.32155447786282,0.9358970649159872,-0.024497342269470757
"sell",1.05,39248.58,153579.7255,1843.7190000000046,1,0,0,334.4887612503578,24.074482219378577,0.7906786370143388,-0.004264392324093813
"buy",1.05,34644.77,117202.717,,0,0,1,1040.6164504659555,28.084669172189315,1.3382960727117312,-0.09099852434825384
