"Action","Quantity","Price","Balance","PNL","SentimentAgent","MAAgent","BollingerAgent","RSIAgent","MACRO_0","MACRO_1","MACRO_2","VaR"
"sell",0.95,57850.71,119627.03999999995,2372.130999999994,-1,0,0,0,138.72771946924925,-6.0946371401509625,-0.4632403232136796,-0.0007653451706719494
"buy",0.95,59230.42,63358.14099999995,-3658.089,0,1,0,0,-581.962498607774,-8.059917626650927,1.6296717261407112,0.0182648401826484
"sell",0.95,55379.8,115968.95099999994,-3658.089,-1,0,0,0,-570.3144702268468,-7.731265145348072,2.5676481599836154,-0.06696562032884901
"buy",1.05,49368.92,64131.58499999994,-17248.308000000005,1,0,0,0,-209.63190573878208,-6.175673188497972,0.6587427202466224,-0.006726854310497465
"buy",1.05,48118.82,13606.823999999942,-17248.308000000005,0,0,1,0,-191.519561366094,-5.710581999205877,0.8453925361469886,-0.026020317234004664
"sell",2.1,40530.39,98720.64299999995,-17248.308000000005,0,0,-1,0,-221.28088687821503,-1.581046155658777,-3.3368933874100866,0.03384056325232798
"buy",1.05,38811.19,57968.89349999995,-6187.282500000001,1,0,0,0,138.7922981811872,1.4075516148428766,-2.909773903488327,-0.03759398496240607
"sell",1.05,32918.54,92533.36049999995,-6187.282500000001,-1,0,0,0,295.48332289208355,3.5223904118933125,-3.953649434853679,-0.038421327757449
"buy",0.95,32538.37,61621.908999999956,-2020.0990000000093,1,0,0,0,226.87461284284063,2.416780303731885,-4.822859323049876,-0.011959771677086173
"buy",0.95,33472.51,29823.024499999956,-2020.0990000000093,1,0,0,0,-739.7087657147594,-0.3752228515726463,-3.3043890258295328,-0.005037115588547136
"sell",1.9,31942.23,90513.26149999995,-2020.0990000000093,-1,0,0,0,-716.3351224034602,0.733990073215973,-2.758044189594975,-0.03720679428417362
"buy",0.95,32661.04,59485.27349999995,20129.017999999982,1,0,0,0,-760.7656920488015,-1.7545548195655385,-2.751211768514151,0.02324278913469624
"buy",0.95,31388.24,29666.44549999995,20129.017999999982,0,0,1,0,-515.3801295146795,-1.4187517650787058,-1.0318944434357404,-0.015440763615946151
"buy",0.95,29662.31,1487.2509999999493,20129.017999999982,0,0,1,1,210.4518384916816,-2.3765783766893867,2.647999037380409,-0.0678300028145229
"sell",2.8499999999999996,38300.01,110642.27949999993,20129.017999999982,0,0,-1,0,-944.251328281682,-2.995527925074843,-0.9352070922454758,0.12184326998177553
"buy",0.95,46391.24,66570.60149999993,9355.543000000005,1,0,0,0,-1452.9016856907322,-9.89328421277454,0.6256702492816031,-0.023893970505880158
"buy",0.95,48839.86,20172.734499999933,9355.543000000005,1,0,0,0,-1140.0413795933491,-7.50765566221824,-0.5610099192244721,0.03400075557234605
"sell",1.9,52539.52,119997.82249999992,9355.543000000005,0,0,-1,0,-994.7837913287308,-6.395026134086011,0.56414349119018,0.016351118760757233
"buy",0.95,44851.45,77388.94499999992,-5159.506999999998,1,0,0,0,-435.2389311849657,-2.1722658010347287,1.826452015035109,-0.03425052915143356
"buy",0.95,46024.23,33665.92649999992,-5159.506999999998,1,0,0,0,-609.8471056593091,-2.713503045562411,1.1396022263013434,0.014581280788177331
"sell",1.9,42722.31,114838.31549999991,-5159.506999999998,-1,0,0,0,-625.5395146609566,0.3735859732722152,-1.808568039545076,-0.03721682847896435
"buy",0.95,42247.96,74702.7534999999,379.752999999997,1,0,0,0,-649.3309529795199,0.804936240695782,-1.5741984050636222,-0.012815126050420123
"sell",0.95,42647.7,115218.0684999999,379.752999999997,-1,0,0,0,-696.9138296166466,1.6676367755429184,-1.1054591361007124,-0.0314478251991015
"buy",0.95,42250.07,75080.5019999999,5087.582499999997,1,0,0,0,-127.53390486296009,5.155162770136725,1.7553331804529082,-0.009909340080118123
"sell",0.95,47605.42,120305.6509999999,5087.582499999997,-1,0,0,0,-154.0092377546393,4.97653628724292,-0.3722012482009131,0.09328665568369021
"buy",0.95,62793.73,60651.6074999999,-1468.3580000000075,1,0,0,0,-1880.2016465045044,4.205218088343032,-2.997482313230416,0.019920318725099584
"sell",0.95,61248.09,118837.29299999989,-1468.3580000000075,-1,0,0,0,-2155.505619913564,0.7039879549629112,-1.0557140768146376,0.005385190725504918
"buy",0.95,63618.26,58399.94599999989,-4850.832999999999,1,0,0,0,-1927.866590687005,1.20274040489911,-1.6836145475144766,-0.01658001967120981
"buy",0.95,56436.38,4785.384999999893,-4850.832999999999,0,0,1,0,-1698.499241592054,0.6001739383776349,-0.5574693035562808,-0.06009504829066381
"sell",1.9,57474.25,113986.45999999989,-4850.832999999999,0,-1,0,0,-1441.033103153916,-0.3180232738702405,0.5914727369906346,-0.026623073330219515
"buy",0.95,56550,60263.95999999989,1686.9624999999942,0,0,0,1,-1446.7899706647129,-0.0108963215066078,0.9662961865876888,-0.01599488163787588
"buy",0.95,54294.75,8683.947499999893,1686.9624999999942,0,0,0,1,-726.8671972146182,3.916358261735682,8.715408053582687,-0.0636638548464109
"sell",1.9,56310.25,115673.42249999988,1686.9624999999942,-1,0,0,0,-963.4487779307266,-3.507991094460092,5.432405112548641,-0.0216623876765083
"buy",0.95,56963.32,61558.26849999989,-173.75499999999738,1,0,0,0,150.46928075877182,-0.9153164144169637,11.682462531598452,0.0030904359141183946
"sell",0.95,56780.42,115499.6674999999,-173.75499999999738,-1,0,0,0,-467.2827382330274,-3.175595204193056,9.961644561322707,-0.005026755310523767
"buy",0.95,47502.84,70371.96949999989,-305.7954999999929,0,0,1,1,-407.5695270968865,-2.381185698743108,12.360001199945817,-0.15645371577574962
"buy",0.95,48264.63,24520.570999999894,-305.7954999999929,1,0,0,0,-1582.198663593407,-5.444709259607022,5.358668304566294,-0.04772313296903463
"sell",1.9,47722.79,115193.87199999989,-305.7954999999929,-1,0,0,0,-1725.1561993476723,-4.96574764923349,4.149095635108522,-0.0194508009153318
