"SentimentAgent","MAAgent","BollingerAgent","RSIAgent"
-1.249000902703301e-16,0.2,0.15000000000000008,0.49999999999999994
-1.249000902703301e-16,0.2,0.15000000000000008,0.49999999999999994
-0.05000000000000013,0.2,0.10000000000000007,0.44999999999999996
-1.249000902703301e-16,0.2,0.15000000000000008,0.49999999999999994
-0.05000000000000013,0.2,0.10000000000000007,0.44999999999999996
-0.05000000000000013,0.15000000000000002,6.938893903907228e-17,0.35
-0.05000000000000013,0.15000000000000002,6.938893903907228e-17,0.35
-0.05000000000000013,0.15000000000000002,6.938893903907228e-17,0.35
-0.05000000000000013,0.15000000000000002,6.938893903907228e-17,0.35
-1.249000902703301e-16,0.2,0.05000000000000007,0.39999999999999997
-0.05000000000000013,0.15000000000000002,6.938893903907228e-17,0.35
-1.249000902703301e-16,0.2,0.05000000000000007,0.39999999999999997
-0.05000000000000013,0.2,0.15000000000000008,0.3
-0.05000000000000013,0.2,0.15000000000000008,0.3
0.04999999999999988,0.2,0.05000000000000007,0.25
-0.05000000000000013,0.2,0.15000000000000008,0.3
0.04999999999999988,0.2,0.05000000000000007,0.25
0.04999999999999988,0.10000000000000002,0.05000000000000007,0.2
-0.05000000000000013,0.2,0.15000000000000008,0.3
0.04999999999999988,0.2,0.05000000000000007,0.25
0.04999999999999988,0.10000000000000002,0.05000000000000007,0.2
0.04999999999999988,0.10000000000000002,0.05000000000000007,0.2
-0.05000000000000013,1.3877787807814457e-17,6.938893903907228e-17,0.10000000000000002
